Depthm,Salnty,T_degC
50,33.91,16.91
59,33.888,16.29
75,33.865,15.45
79,33.853,15.2
99,33.7,12.91
100,33.699,12.82
123,33.769,11.11
125,33.778,11.0
148,33.922,10.24
150,33.945,10.25
173,34.166,10.35
200,34.282,10.19
206,34.296,10.13
250,34.404,9.87
270,34.431,9.73
300,34.428,9.42
362,34.423,8.7
400,34.421,8.3
460,34.417,7.66
500,34.41,7.18
587,34.401,6.24
600,34.401,6.14
700,34.413,5.51
715,34.416,5.44
800,34.451,5.03
857,34.476,4.79
900,34.484,4.61
1000,34.506,4.18
1013,34.509,4.13
0,33.849,20.76
10,33.847,20.76
20,33.846,20.75
25,33.846,20.75
30,33.762,19.45
40,33.653,16.64
50,33.668,16.16
60,33.686,15.69
75,33.639,14.71
80,33.62,14.36
100,33.58,12.99
124,33.742,11.15
125,33.749,11.09
150,33.908,10.16
174,34.005,9.98
200,34.087,9.55
209,34.113,9.39
250,34.245,8.97
272,34.305,8.79
300,34.346,8.5
364,34.387,7.84
400,34.388,7.53
461,34.39,7.05
500,34.408,6.73
587,34.452,6.08
600,34.453,6.0
700,34.459,5.42
714,34.459,5.35
800,34.479,4.98
858,34.494,4.75
900,34.499,4.56
1000,34.514,4.12
1012,34.516,4.07
0,34.142,23.19
9,34.156,23.05
10,34.136,22.81
20,33.912,19.72
24,33.832,18.12
30,33.762,15.93
39,33.756,13.21
50,33.804,12.85
59,33.845,12.56
75,34.011,12.37
79,34.057,12.35
99,34.23,12.26
100,34.234,12.25
124,34.322,12.13
125,34.33,12.13
148,34.525,12.14
150,34.518,12.05
173,34.416,11.01
200,34.527,10.94
207,34.551,10.92
250,34.551,10.21
271,34.524,9.79
300,34.512,9.47
363,34.488,8.86
400,34.478,8.38
460,34.468,7.58
500,34.462,7.12
586,34.458,6.29
600,34.459,6.19
700,34.469,5.6
713,34.47,5.53
800,34.479,4.99
856,34.487,4.67
900,34.496,4.51
1000,34.519,4.16
1009,34.521,4.13
0,33.858,21.63
10,33.857,21.64
20,33.8,20.99
25,33.767,20.38
30,33.773,19.34
40,33.81,17.22
50,33.74,16.12
60,33.691,15.43
75,33.693,14.39
80,33.694,14.08
100,33.811,13.23
124,33.914,11.6
125,33.917,11.56
149,34.034,10.89
150,34.044,10.87
173,34.27,10.63
200,34.419,10.47
208,34.447,10.43
250,34.538,10.14
271,34.552,9.95
300,34.55,9.58
363,34.514,8.7
400,34.506,8.24
460,34.497,7.55
500,34.49,7.15
587,34.478,6.41
600,34.476,6.31
700,34.472,5.64
714,34.472,5.56
800,34.492,5.15
857,34.508,4.92
900,34.512,4.74
1000,34.525,4.33
1010,34.526,4.29
0,33.326,13.47
1,33.326,13.47
10,33.325,13.43
20,33.326,13.42
29,33.326,13.42
30,33.327,13.42
50,33.334,13.42
52,33.335,13.42
66,33.059,10.5
75,33.255,10.39
80,33.349,10.33
94,33.442,9.59
100,33.513,9.37
122,33.776,8.83
125,33.8,8.79
145,33.911,8.57
150,33.925,8.49
168,33.955,8.2
200,34.012,7.79
250,34.015,7.06
260,34.016,6.92
300,34.045,6.59
352,34.094,6.3
400,34.14,6.03
445,34.181,5.79
500,34.216,5.49
542,34.24,5.28
600,34.277,5.07
663,34.311,4.87
700,34.32,4.73
800,34.341,4.37
809,34.343,4.34
900,34.388,4.05
955,34.415,3.89
1000,34.43,3.77
0,33.571,14.07
1,33.571,14.07
10,33.568,14.02
11,33.568,14.01
20,33.567,13.98
29,33.566,13.95
30,33.565,13.94
50,33.521,13.06
53,33.513,12.82
67,33.491,11.09
75,33.542,10.51
81,33.594,10.18
95,33.726,9.49
100,33.759,9.31
123,33.864,8.75
125,33.872,8.72
147,33.936,8.44
150,33.939,8.38
170,33.958,7.99
200,34.017,7.66
203,34.023,7.64
250,34.076,7.35
264,34.088,7.28
300,34.133,7.07
360,34.198,6.7
400,34.22,6.44
454,34.239,6.09
500,34.252,5.78
553,34.268,5.44
600,34.291,5.16
676,34.331,4.76
700,34.342,4.66
800,34.385,4.31
823,34.394,4.24
900,34.415,4.04
970,34.436,3.86
1000,34.45,3.76
0,33.397,14.64
1,33.397,14.64
10,33.393,14.64
11,33.393,14.64
20,33.401,14.59
30,33.378,14.41
50,33.42,13.55
53,33.427,13.42
68,33.308,10.87
75,33.375,10.5
82,33.463,10.3
96,33.578,9.38
100,33.62,9.31
125,33.763,8.86
149,33.882,8.63
150,33.884,8.62
173,33.916,8.24
200,33.956,7.72
205,33.963,7.63
250,34.021,7.12
267,34.038,6.99
300,34.045,6.68
361,34.057,6.23
400,34.109,6.14
454,34.186,6.04
500,34.223,5.79
552,34.256,5.47
600,34.286,5.26
674,34.326,4.99
700,34.338,4.89
800,34.379,4.53
819,34.386,4.46
900,34.415,4.16
964,34.441,3.94
1000,34.46,3.84
0,33.431,13.53
1,33.431,13.53
10,33.428,13.55
11,33.428,13.55
20,33.429,13.52
30,33.429,13.48
50,33.452,12.73
53,33.458,12.54
68,33.497,11.22
75,33.479,10.62
82,33.477,10.1
96,33.633,9.49
100,33.672,9.37
125,33.851,8.89
149,33.899,8.69
150,33.901,8.68
173,33.936,8.44
200,33.993,8.25
205,34.003,8.21
250,34.041,7.68
267,34.046,7.45
300,34.05,7.0
362,34.059,6.26
400,34.086,5.98
457,34.134,5.66
500,34.167,5.4
556,34.211,5.1
600,34.249,4.94
679,34.306,4.7
700,34.311,4.62
800,34.328,4.25
825,34.331,4.16
900,34.377,3.98
973,34.416,3.81
1000,34.42,3.73
0,33.27,14.91
1,33.27,14.91
10,33.308,14.85
11,33.315,14.84
20,33.395,14.96
30,33.515,15.09
50,32.896,11.18
52,32.853,10.79
67,33.131,10.59
75,33.153,10.23
80,33.17,9.96
94,33.462,9.28
100,33.553,9.13
121,33.775,8.89
125,33.808,8.87
145,33.922,8.77
150,33.934,8.7
168,33.957,8.39
200,33.99,7.93
250,34.014,7.26
258,34.018,7.17
300,34.076,6.92
350,34.14,6.69
400,34.139,6.23
440,34.139,5.84
500,34.18,5.39
535,34.212,5.18
600,34.273,4.9
653,34.32,4.74
700,34.348,4.63
795,34.391,4.43
800,34.392,4.42
900,34.421,4.12
941,,3.99
1000,34.45,3.82
0,33.425,13.51
1,33.425,13.51
10,33.424,13.46
11,33.424,13.45
20,33.468,13.26
29,33.52,13.04
30,33.519,13.03
50,33.544,12.78
52,33.551,12.76
66,33.424,11.16
75,33.461,10.49
80,33.505,10.22
94,33.652,9.84
100,33.689,9.72
121,33.78,9.32
125,33.802,9.2
144,33.894,8.65
150,33.912,8.52
168,33.947,8.23
200,33.973,7.93
201,33.973,7.92
250,33.973,7.21
260,33.974,7.06
300,34.023,6.7
353,34.099,6.35
400,34.131,6.0
446,34.156,5.69
500,34.193,5.4
544,34.225,5.19
600,34.272,4.92
665,34.325,4.66
700,34.346,4.57
800,34.395,4.35
810,34.399,4.33
900,34.436,4.03
956,34.453,3.86
1000,34.46,3.77
0,33.479,14.02
2,33.479,14.02
10,33.475,14.01
12,33.474,14.01
20,33.477,13.93
30,33.48,13.84
31,33.48,13.83
50,33.468,12.15
56,33.464,11.56
75,33.543,10.71
89,33.614,10.0
100,33.683,9.43
102,33.696,9.34
125,33.86,8.85
131,33.896,8.8
150,33.941,8.57
155,33.948,8.52
183,34.009,8.3
200,34.037,8.08
217,34.059,7.84
250,34.074,7.44
287,34.083,7.07
300,34.095,6.98
386,34.191,6.59
400,34.208,6.54
488,34.288,6.18
500,34.288,6.09
591,34.287,5.33
600,34.292,5.27
700,34.364,4.72
717,34.378,4.64
800,34.42,4.33
867,34.446,4.12
900,34.456,4.02
1000,34.486,3.72
1024,34.494,3.65
0,33.416,16.24
1,33.416,16.24
10,33.415,16.25
11,33.415,16.25
20,33.399,16.14
30,33.381,16.02
50,33.193,13.6
53,33.186,13.25
67,33.382,13.06
75,33.335,12.29
81,33.296,11.7
95,33.417,11.4
100,33.446,11.24
123,33.559,10.4
125,33.569,10.32
146,33.693,9.55
150,33.729,9.43
169,33.891,8.96
200,33.972,8.41
202,33.973,8.38
250,34.002,7.64
263,34.002,7.46
300,34.018,6.98
358,34.056,6.41
400,34.107,6.22
452,34.175,6.05
500,34.228,5.77
549,34.276,5.48
600,34.312,5.27
674,34.35,4.99
700,34.362,4.88
800,34.398,4.46
815,34.403,4.4
900,34.425,4.1
964,34.44,3.95
1000,34.45,3.85
0,33.348,15.18
1,33.348,15.18
10,33.34,15.18
11,33.339,15.18
20,33.343,15.18
30,33.347,15.17
50,33.35,14.7
53,33.35,14.56
67,33.342,13.54
75,33.319,12.94
82,33.303,12.45
97,33.32,11.59
100,33.336,11.47
124,33.517,10.63
125,33.526,10.59
147,33.697,9.79
150,33.712,9.71
171,33.794,9.27
200,33.912,8.74
205,33.93,8.66
250,34.019,8.04
266,34.04,7.88
300,34.11,7.68
360,34.128,6.96
400,34.148,6.59
454,34.178,6.17
500,34.2,5.81
552,34.228,5.47
600,34.267,5.28
674,34.329,5.08
700,34.348,5.01
800,34.407,4.74
819,34.415,4.68
900,34.428,4.34
968,34.438,4.07
1000,34.45,3.98
0,33.594,16.68
9,33.592,16.69
10,33.592,16.69
20,33.59,16.68
28,33.588,16.67
30,33.557,16.37
50,33.341,13.31
52,33.329,13.0
66,33.397,12.53
75,33.482,12.13
80,33.528,11.85
94,33.581,10.71
100,33.63,10.42
122,33.804,9.75
125,33.815,9.66
146,33.864,9.14
150,33.877,9.09
170,33.934,8.87
200,33.974,8.15
203,33.977,8.07
250,34.031,7.37
265,34.046,7.22
300,34.078,6.87
358,34.139,6.47
400,34.21,6.34
453,34.294,6.21
500,34.328,5.95
553,34.349,5.64
600,34.366,5.44
675,34.386,5.16
700,34.391,5.07
800,34.414,4.73
822,34.419,4.66
900,34.445,4.34
969,34.47,4.09
1000,34.48,4.02
0,33.711,18.45
1,33.711,18.45
10,33.712,18.43
11,33.712,18.43
20,33.541,16.33
29,33.421,13.89
30,33.438,13.83
50,33.503,12.55
53,33.508,12.45
67,33.537,11.77
75,33.555,11.54
82,33.577,11.34
96,33.657,10.7
100,33.677,10.54
124,33.796,9.77
125,33.802,9.75
148,33.935,9.38
150,33.944,9.37
172,34.019,9.24
200,34.082,8.88
205,34.091,8.81
250,34.155,8.53
266,34.17,8.45
300,34.195,8.13
362,34.226,7.49
400,34.241,7.13
456,34.261,6.63
500,34.283,6.27
555,34.312,5.86
600,34.336,5.55
678,34.377,5.07
700,34.387,4.95
800,34.428,4.5
823,34.436,4.41
900,34.458,4.16
970,34.478,3.95
1000,34.49,3.84
0,33.72,17.34
10,33.67,16.53
20,33.53,13.43
30,33.54,12.51
40,33.55,11.6
50,33.57,11.2
75,33.65,10.63
100,33.78,9.81
125,33.96,9.61
150,34.05,9.26
175,34.11,8.88
200,34.15,8.53
225,34.18,8.41
250,34.2,8.14
275,34.21,7.88
300,34.25,7.84
350,34.26,7.3
400,34.28,6.8
450,34.31,6.43
500,34.33,6.03
550,34.36,5.58
600,34.38,5.42
700,34.42,4.82
800,34.45,4.51
900,34.48,4.1
1000,34.51,3.84
0,33.75,17.35
10,33.75,17.35
20,33.75,17.35
30,33.67,16.43
40,33.56,13.43
50,33.53,11.97
75,33.6,10.46
100,33.77,10.0
125,33.91,9.4
150,33.96,9.01
175,34.07,8.49
200,34.14,8.27
225,34.19,8.06
250,34.21,7.88
275,34.23,7.63
300,34.26,7.59
350,34.28,7.17
400,34.3,6.8
450,34.31,6.44
500,34.32,5.96
550,34.35,5.7
600,34.38,5.42
700,34.42,4.95
800,34.44,4.6
900,34.47,4.21
1000,34.49,3.93
0,33.78,18.13
10,33.78,18.13
20,33.78,18.13
30,33.74,14.93
40,33.65,11.88
50,33.69,10.79
75,33.77,10.04
100,33.9,9.61
125,34.05,9.07
150,34.07,8.66
175,34.09,8.14
200,34.12,7.99
225,34.15,7.78
250,34.18,7.53
275,34.2,7.37
300,34.25,7.49
350,34.24,6.9
400,34.29,6.54
450,34.3,6.3
500,34.31,5.89
550,34.34,5.69
600,34.37,5.51
700,34.42,4.87
800,34.45,4.5
900,34.48,4.13
1000,34.5,3.83
0,33.65,16.41
10,33.65,16.41
20,33.65,16.38
30,33.5,14.43
40,33.45,12.48
50,33.5,11.71
75,33.57,11.1
100,33.75,10.14
125,33.92,9.45
150,34.01,9.17
175,34.1,8.86
200,34.18,8.92
225,34.19,8.67
250,34.2,8.27
275,34.22,7.97
300,34.25,7.85
350,34.24,7.4
400,34.26,6.91
450,34.28,6.6
500,34.3,6.24
550,34.31,5.88
600,34.34,5.61
700,34.4,5.02
800,34.42,4.7
900,34.46,4.36
1000,34.49,4.08
0,33.62,16.93
10,33.62,16.93
20,33.62,16.87
30,33.55,16.18
40,33.37,13.93
50,33.35,12.28
75,33.62,11.48
100,33.77,9.98
125,33.86,9.56
150,33.95,9.21
175,34.03,8.65
200,34.09,8.36
225,34.1,7.95
250,34.06,7.35
275,34.09,7.08
300,34.12,6.81
350,34.18,6.63
400,34.23,6.2
450,34.26,5.89
500,34.28,5.65
550,34.35,5.47
600,34.36,5.17
700,34.41,4.74
800,34.44,4.4
900,34.47,4.12
1000,34.51,3.86
0,33.82,17.47
10,33.82,17.47
20,33.82,17.47
30,33.77,13.83
40,33.68,12.43
50,33.69,10.96
75,33.87,9.6
100,33.99,9.27
125,34.07,8.73
150,34.09,8.45
175,34.11,8.1
200,34.14,7.93
225,34.17,7.65
250,34.19,7.46
275,34.2,7.17
300,34.23,7.01
350,34.24,6.56
400,34.29,6.23
450,34.32,5.9
500,34.34,5.52
550,34.37,5.35
600,34.39,5.06
700,34.43,4.71
800,34.46,4.33
900,34.49,3.95
1000,34.51,3.68
0,33.81,17.61
10,33.81,17.61
20,33.81,17.56
30,33.8,17.46
40,33.57,14.68
50,33.52,13.83
75,33.57,11.23
100,33.73,10.2
125,33.91,9.55
150,34.04,9.33
175,34.07,8.93
200,34.12,8.45
225,34.19,8.37
250,34.18,7.9
275,34.16,7.68
300,34.11,6.96
350,34.14,6.42
400,34.19,6.12
450,34.24,5.69
500,34.29,5.46
550,34.32,5.24
600,34.36,5.08
700,34.42,4.71
800,34.46,4.38
900,34.48,4.04
1000,34.51,3.79
0,33.58,16.54
10,33.58,16.51
20,33.58,16.5
30,33.58,16.49
40,33.58,16.49
50,33.51,15.47
75,33.65,14.58
100,33.58,12.56
125,33.61,11.11
150,33.72,9.9
175,33.85,9.34
200,33.96,8.81
225,34.0,8.45
250,34.03,8.04
275,34.03,7.73
300,34.04,7.41
350,34.06,6.55
400,34.12,6.08
450,34.18,5.76
500,34.25,5.51
550,34.29,5.32
600,34.34,5.19
700,34.41,4.77
800,34.44,4.44
900,34.47,4.11
1000,34.5,3.82
0,33.59,16.76
10,33.56,14.83
20,33.5,14.27
30,33.47,12.96
40,33.49,12.19
50,33.52,11.89
75,33.58,11.16
100,33.68,10.39
125,33.87,9.86
150,34.03,9.42
175,34.08,9.24
200,34.14,9.05
225,34.19,8.77
250,34.22,8.36
275,34.22,7.99
300,34.24,7.87
0,33.68,17.37
10,33.68,17.34
20,33.65,16.28
30,33.57,13.43
40,33.59,12.56
50,33.61,11.75
75,33.69,10.55
100,33.8,9.89
125,33.87,9.48
150,34.03,9.16
175,34.15,9.02
200,34.19,8.84
225,34.17,8.2
250,34.21,8.14
275,34.25,8.05
300,34.27,7.92
350,34.29,7.36
400,34.29,6.83
450,34.31,6.44
500,34.32,6.35
550,34.34,5.8
600,34.37,5.49
700,34.39,5.17
800,34.42,4.75
900,34.46,4.29
1000,34.49,3.99
0,33.7,18.01
10,33.7,18.01
20,33.7,18.01
30,33.6,16.23
40,33.41,13.33
50,33.42,12.43
75,33.52,10.88
100,33.65,10.21
125,33.84,9.75
150,34.0,9.2
175,34.05,8.95
200,34.09,8.55
225,34.12,8.31
250,34.15,8.0
275,34.21,7.85
300,34.23,7.7
350,34.25,7.3
400,34.28,6.87
450,34.3,6.51
500,34.32,6.1
550,34.34,5.9
600,34.36,5.64
700,34.39,5.09
800,34.43,4.7
900,34.45,4.32
1000,34.49,3.97
0,33.58,17.33
10,33.58,17.33
20,33.58,17.33
30,33.57,17.31
40,33.48,15.25
50,33.42,14.16
75,33.44,12.58
100,33.56,11.6
125,33.63,10.16
150,33.79,9.67
175,33.93,9.26
200,34.03,9.07
225,34.09,8.65
250,34.12,8.25
275,34.16,7.96
300,34.2,7.79
350,34.22,7.29
400,34.28,6.98
450,34.3,6.61
500,34.32,6.21
550,34.34,5.99
600,34.36,5.62
700,34.4,5.04
800,34.44,4.52
900,34.47,4.22
1000,34.49,3.97
0,33.5,17.66
10,33.5,17.58
20,33.5,17.57
30,33.5,17.56
40,33.49,17.08
50,33.44,15.53
75,33.34,13.4
100,33.45,10.88
125,33.63,10.71
150,33.75,9.68
175,33.85,9.12
200,33.97,8.54
225,33.99,8.2
250,34.01,7.71
275,34.05,7.26
300,34.08,7.19
350,34.12,6.62
400,34.16,6.2
450,34.21,5.84
500,34.25,5.58
550,34.31,5.39
600,34.35,5.18
700,34.39,4.8
800,34.43,4.47
900,34.46,4.12
1000,34.49,3.83
0,33.65,16.89
10,33.65,16.87
20,33.65,16.72
30,33.65,16.68
40,33.57,15.1
50,33.34,12.49
75,33.41,11.17
100,33.67,10.58
125,33.83,9.6
150,33.89,8.99
175,33.95,8.59
200,34.01,8.2
225,34.05,7.75
250,34.06,7.56
275,34.07,7.2
300,34.08,6.92
350,34.13,6.38
400,34.22,6.23
450,34.24,5.85
500,34.28,5.59
550,34.3,5.27
600,34.34,4.93
700,34.38,4.62
800,34.44,4.43
900,34.46,4.12
1000,34.48,3.86
0,33.59,16.73
10,33.59,16.73
20,33.59,16.73
30,33.59,16.73
40,33.58,16.68
50,33.3,14.07
75,33.23,12.15
100,33.43,11.13
125,33.65,10.15
150,33.8,9.24
175,33.91,8.67
200,33.99,8.15
225,34.04,7.8
250,34.07,7.41
275,34.08,7.15
300,34.1,6.75
350,34.12,6.33
400,34.18,5.94
450,34.21,5.62
500,34.27,5.49
550,34.31,5.32
600,34.34,4.92
700,34.39,4.63
800,34.44,4.26
900,34.46,3.99
1000,34.5,3.84
0,33.75,18.22
10,33.75,18.22
20,33.75,18.22
30,33.75,18.23
40,33.75,18.23
50,33.75,18.23
75,34.02,16.9
100,34.19,16.26
125,34.07,14.76
150,33.88,12.56
175,33.77,10.58
200,33.95,10.01
225,34.09,9.65
250,34.13,8.97
275,34.16,8.55
300,34.19,8.26
350,34.14,7.14
400,34.16,6.6
450,34.24,6.32
500,34.26,5.95
550,34.29,5.67
600,34.32,5.36
700,34.38,4.98
800,34.43,4.61
900,34.46,4.33
1000,34.49,4.04
0,33.72,17.91
10,33.69,17.7
20,33.53,14.83
30,33.45,13.84
40,33.5,12.39
50,33.54,11.84
0,33.67,18.44
10,33.67,18.44
20,33.66,18.42
30,33.65,18.34
40,33.48,16.17
50,33.36,14.18
75,33.47,12.14
100,33.56,10.66
125,33.69,10.1
150,33.83,9.31
175,33.98,8.76
200,34.07,8.8
225,34.13,8.57
250,34.17,8.36
275,34.16,7.78
300,34.23,7.88
350,34.29,7.39
400,34.29,6.96
450,34.31,6.39
500,34.32,6.0
550,34.35,5.67
600,34.37,5.43
700,34.41,4.89
800,34.45,4.45
900,34.47,4.15
1000,34.5,3.83
0,33.72,18.47
10,33.72,18.47
20,33.72,18.47
30,33.72,18.47
40,33.38,14.83
50,33.29,13.93
75,33.4,12.22
100,33.51,10.93
125,33.7,9.8
150,33.86,9.2
175,33.97,8.87
200,34.09,8.7
225,34.15,8.46
250,34.17,8.0
275,34.27,7.95
300,34.27,7.75
350,34.28,7.2
400,34.31,6.65
450,34.31,6.31
500,34.34,5.96
550,34.37,5.74
600,34.39,5.55
700,34.41,5.11
800,34.44,4.56
900,34.48,4.19
1000,34.49,3.96
0,33.56,17.91
10,33.56,17.91
20,33.56,17.77
30,33.55,17.71
40,33.54,17.03
50,33.47,15.86
75,33.42,13.21
100,33.51,12.08
125,33.63,10.49
150,33.76,9.58
175,33.93,8.96
200,34.03,8.76
225,34.08,8.39
250,34.11,8.07
275,34.16,7.95
300,34.16,7.55
350,34.22,7.24
400,34.25,6.87
450,34.29,6.46
500,34.31,6.16
550,34.31,5.63
600,34.35,5.3
700,34.41,4.91
800,34.44,4.54
900,34.46,4.21
1000,34.49,3.93
0,33.54,18.36
10,33.54,18.33
20,33.54,18.25
30,33.54,18.23
40,33.54,18.18
50,33.54,17.18
75,33.58,15.25
100,33.55,13.87
125,33.53,12.21
150,33.57,11.46
175,33.67,9.85
200,33.86,9.24
225,33.97,8.68
250,34.02,8.27
275,34.05,7.66
300,34.06,7.27
350,34.11,6.73
400,34.18,6.43
450,34.24,6.07
500,34.26,5.83
550,34.33,5.57
600,34.36,5.39
700,34.4,5.02
800,34.44,4.47
900,34.46,4.16
1000,34.49,3.88
0,33.59,18.1
10,33.59,18.08
20,33.59,18.08
30,33.59,18.08
40,33.59,18.07
50,33.59,17.43
75,33.53,14.48
100,33.47,11.48
125,33.67,10.72
150,33.75,9.85
175,33.88,9.07
200,33.97,8.64
225,34.02,8.22
250,34.04,7.93
275,34.06,7.56
300,34.07,7.19
350,34.12,6.67
400,34.17,6.28
450,34.26,5.86
500,34.27,5.75
550,34.31,5.52
600,34.34,5.23
700,34.4,4.84
800,34.45,4.44
900,34.47,4.16
1000,34.49,3.89
0,33.59,18.27
10,33.59,18.27
20,33.59,18.27
30,33.59,18.27
40,33.59,18.27
50,33.6,17.43
75,33.64,15.2
100,33.63,14.01
125,33.59,12.53
150,33.61,11.07
175,33.73,10.16
200,33.89,9.19
225,33.96,8.68
250,34.03,8.1
275,34.05,7.77
300,34.06,7.45
350,34.1,6.85
400,34.12,6.28
450,34.2,6.14
500,34.23,5.66
550,34.29,5.66
600,34.33,5.45
700,34.4,4.93
800,34.44,4.54
900,34.46,4.29
1000,34.49,3.96
0,33.74,19.05
10,33.74,19.06
20,33.74,19.06
30,33.74,19.07
40,33.74,19.07
50,33.72,17.23
75,33.53,14.95
100,33.53,12.93
125,33.63,11.79
150,33.69,10.73
175,33.93,10.15
200,34.06,9.78
225,34.18,9.35
250,34.24,9.27
275,34.33,9.43
300,34.37,9.28
350,34.4,8.82
400,34.37,8.13
450,34.42,7.77
500,34.42,7.07
550,34.43,6.92
600,34.42,6.28
700,34.42,5.63
800,34.43,4.98
900,34.45,4.59
1000,34.47,4.21
0,33.51,16.05
10,33.49,15.18
20,33.48,14.58
30,33.49,13.18
40,33.54,12.43
50,33.56,12.33
75,33.66,11.2
100,33.76,10.72
125,33.86,10.12
150,33.99,9.63
175,34.13,9.5
200,34.18,9.2
225,34.14,8.53
250,34.3,8.8
275,34.27,8.56
300,34.31,8.51
350,34.26,7.58
400,34.27,6.92
0,33.72,18.6
10,33.72,18.61
20,33.72,18.61
30,33.71,18.53
40,33.51,16.83
50,33.42,14.53
75,33.44,12.67
100,33.54,11.13
125,33.68,10.15
150,33.98,9.83
175,33.97,9.1
200,34.05,8.67
225,34.08,8.29
250,34.1,8.0
275,34.13,7.69
300,34.12,7.29
350,34.18,6.79
400,34.26,6.57
450,34.31,6.33
500,34.34,6.11
550,34.37,5.85
600,34.39,5.6
700,34.42,5.06
800,34.45,4.54
900,34.48,4.13
1000,34.52,3.79
0,33.64,18.64
10,33.64,18.64
20,33.64,18.64
30,33.63,18.59
40,33.61,17.73
50,33.37,14.7
75,33.43,13.31
100,33.54,11.93
125,33.69,10.74
150,33.77,9.75
175,33.89,9.1
200,34.02,8.62
225,34.07,8.33
250,34.09,7.95
275,34.1,7.65
300,34.09,7.21
350,34.17,6.84
400,34.25,6.58
450,34.27,6.15
500,34.3,5.83
550,34.33,5.57
600,34.37,5.26
700,34.4,4.74
800,34.44,4.39
900,34.47,4.11
1000,34.5,3.85
0,33.55,18.32
10,33.55,18.29
20,33.55,18.14
30,33.56,17.68
40,33.58,16.2
50,33.58,15.33
75,33.51,13.44
100,33.56,12.71
125,33.59,11.47
150,33.76,9.98
175,33.88,9.42
200,33.98,8.91
225,34.0,8.37
250,34.03,7.99
275,34.06,7.76
300,34.07,7.44
350,34.13,6.91
400,34.18,6.42
450,34.21,6.01
500,34.27,5.82
550,34.32,5.61
600,34.35,5.43
700,34.4,4.98
800,34.45,4.61
900,34.47,4.22
1000,34.5,3.89
0,33.55,18.28
10,33.55,18.28
20,33.58,18.23
30,33.59,18.21
40,33.6,17.48
50,33.61,15.91
75,33.61,14.49
100,33.56,12.98
125,33.57,11.75
150,33.63,10.48
175,33.9,9.6
200,33.98,9.17
225,34.02,8.41
250,34.06,8.03
275,34.09,7.73
300,34.19,7.84
350,34.23,7.45
400,34.21,6.75
450,34.26,6.3
500,34.29,6.06
550,34.32,5.65
600,34.36,5.36
700,34.4,4.98
800,34.45,4.58
900,34.47,4.27
1000,34.49,4.0
0,33.59,18.53
10,33.59,18.53
20,33.6,18.54
30,33.6,18.55
40,33.63,17.63
50,33.63,16.13
75,33.63,15.17
100,33.58,13.73
125,33.72,12.74
150,33.75,10.77
175,33.8,9.82
200,33.88,9.37
225,33.97,8.78
250,34.06,8.38
275,34.1,7.94
300,34.1,7.62
350,34.15,7.1
400,34.23,6.76
450,34.26,6.41
500,34.3,6.14
550,34.35,5.99
600,34.38,5.73
700,34.42,5.23
800,34.45,4.76
900,34.46,4.35
1000,34.49,3.96
0,33.6,18.51
10,33.6,18.51
20,33.6,18.51
30,33.6,18.51
40,33.66,17.63
50,33.72,16.36
75,33.85,15.64
100,34.06,15.58
125,33.99,13.95
150,33.8,12.28
175,33.78,10.97
200,33.85,9.95
225,33.97,9.08
250,34.03,8.62
275,34.06,8.33
300,34.08,7.76
350,34.13,7.17
400,34.2,6.86
450,34.22,6.38
500,34.26,6.06
550,34.3,5.73
600,34.34,5.51
700,34.39,5.02
800,34.44,4.65
900,34.47,4.31
1000,34.5,4.03
0,33.62,18.6
10,33.62,18.6
20,33.62,18.6
30,33.62,18.56
40,33.64,18.57
50,33.76,18.45
75,33.57,15.29
100,33.56,13.9
125,33.65,12.95
150,33.68,11.61
175,33.77,10.55
200,33.9,9.95
225,33.97,9.53
250,34.05,8.7
275,34.14,8.7
300,34.07,7.85
350,34.09,7.15
400,34.19,6.83
450,34.21,6.45
500,34.24,5.96
550,34.28,5.71
600,34.33,5.57
700,34.39,5.13
800,34.45,4.8
900,34.47,4.31
1000,34.5,4.02
0,33.48,16.11
10,33.48,16.01
20,33.47,15.85
30,33.46,13.43
40,33.47,12.33
50,33.49,11.9
75,33.64,11.15
100,33.68,10.68
125,33.8,9.36
150,33.9,8.96
175,33.98,8.58
200,34.05,8.35
225,34.09,8.03
250,34.12,7.82
275,34.12,7.53
300,34.12,7.18
350,34.15,6.67
400,34.24,6.36
450,34.28,6.27
500,34.34,6.3
550,34.35,5.92
600,34.36,5.55
700,34.39,5.09
800,34.45,4.63
900,34.48,4.18
1000,34.5,3.93
0,33.64,17.58
10,33.64,17.58
20,33.53,15.5
30,33.37,13.88
40,33.36,13.05
50,33.48,12.7
75,33.56,12.01
100,33.66,11.13
125,33.75,10.56
150,33.8,9.81
175,33.86,9.3
200,33.98,8.76
225,34.08,8.11
250,34.12,7.79
275,34.14,7.66
300,34.14,7.47
350,34.13,6.63
400,34.2,6.27
450,34.27,6.12
500,34.36,6.13
550,34.34,5.61
600,34.37,5.5
700,34.4,5.1
800,34.45,4.65
900,34.47,4.29
1000,34.5,3.98
0,33.64,18.61
10,33.64,18.61
20,33.64,18.61
30,33.64,18.56
40,33.46,15.43
50,33.24,13.93
75,33.28,12.77
100,33.5,12.23
125,33.75,10.9
150,33.82,10.29
175,33.88,9.41
200,34.02,9.05
225,34.2,8.84
250,34.21,8.41
275,34.21,7.97
300,34.23,7.81
350,34.25,7.52
400,34.28,7.12
450,34.31,6.68
500,34.32,6.21
